Dopant concentration,Resistivity
1.00E+12,4414.774316
1.20E+12,3672.33484
1.45E+12,3054.733379
1.74E+12,2540.993386
2.09E+12,2113.656553
2.51E+12,1758.195485
3.02E+12,1462.523237
3.63E+12,1216.584259
4.37E+12,1012.013512
5.25E+12,841.8525633
6.31E+12,700.3132373
7.59E+12,582.5808985
9.12E+12,484.6507656
1.10E+13,403.1917191
1.32E+13,335.4330001
1.58E+13,279.0699556
1.91E+13,232.185634
2.29E+13,193.185566
2.75E+13,160.7435157
3.31E+13,133.7563562
3.98E+13,111.3065364
4.79E+13,92.63086148
5.75E+13,77.09452545
6.92E+13,64.16951197
8.32E+13,53.41662908
1.00E+14,44.47056614
1.20E+14,37.02746466
1.45E+14,30.83458022
1.74E+14,25.68168351
2.09E+14,21.39390805
2.51E+14,17.8258012
3.02E+14,14.8563759
3.63E+14,12.38499494
4.37E+14,10.32794763
5.25E+14,8.615602349
6.31E+14,7.19003815
7.59E+14,6.003074804
9.12E+14,5.014634245
1.10E+15,4.191377671
1.32E+15,3.505571928
1.58E+15,2.934146403
1.91E+15,2.457909471
2.29E+15,2.060895093
2.75E+15,1.729820877
3.31E+15,1.453636591
3.98E+15,1.223148754
4.79E+15,1.03070838
5.75E+15,0.869951253
6.92E+15,0.735581885
8.32E+15,0.623193821
1.00E+16,0.529120169
1.20E+16,0.450309267
1.45E+16,0.384221273
1.74E+16,0.328742139
2.09E+16,0.282112062
2.51E+16,0.242865964
3.02E+16,0.209783986
3.63E+16,0.181850303
4.37E+16,0.158218872
5.25E+16,0.138184935
6.31E+16,0.121161309
7.59E+16,0.106658966
9.12E+16,0.094269548
1.10E+17,0.083653166
1.32E+17,0.074526127
1.58E+17,0.066651651
1.91E+17,0.059831958
2.29E+17,0.053901634
2.75E+17,0.048721736
3.31E+17,0.044176212
3.98E+17,0.040166423
4.79E+17,0.03660863
5.75E+17,0.033431178
6.92E+17,0.030571114
8.32E+17,0.027973623
1.00E+18,0.025590153
1.20E+18,0.023378182
1.45E+18,0.021303309
1.74E+18,0.019339723
2.09E+18,0.01747286
2.51E+18,0.015699125
3.02E+18,0.014022844
3.63E+18,0.012451297
4.37E+18,0.010990081
5.25E+18,0.009642925
6.31E+18,0.008412375
7.59E+18,0.007301037
9.12E+18,0.006310019
